"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","交易","0","订单状态机","1","0","非法迁移：已支付订单不能取消","0"
"0","用户中心","0","登录","12","0","登录接口数据驱动","0"
"0","交易","0","订单","10","0","下单接口数据驱动","0"
"0","用户中心","0","用户管理","6","0","分页参数边界","0"
"0","用户中心","0","用户管理","12","0","创建用户参数校验","0"
"0","用户中心","0","用户管理","1","0","邮箱重复应被拒绝","0"
"0","安全","0","认证","6","0","伪造或畸形的 token 应返回401","0"
"0","用户中心","0","用户管理","1","0","创建用户成功后可查询到","0"
"0","安全","0","恶意输入","4","0","路径参数注入不应造成服务异常","0"
"0","用户中心","0","用户管理","1","0","超出数据范围的页码返回空列表而非报错","0"
"0","用户中心","0","登录","1","0","登录成功的响应结构","0"
"0","安全","0","恶意输入","10","0","恶意字符串作为用户名不应造成服务异常","0"
"0","用户中心","0","用户管理","1","0","用户名重复应被拒绝","0"
"0","交易","0","订单状态机","1","0","合法路径：待支付 → 已取消","0"
"0","用户中心","0","用户管理","1","0","删除用户后再查应返回404","0"
"0","用户中心","0","用户管理","1","0","查询不存在的用户","0"
"0","安全","0","认证","8","0","未携带凭证访问受保护接口应返回401","0"
"0","用户中心","0","登录","1","0","登录响应不得泄露密码相关字段","0"
"0","交易","0","订单","1","0","下单成功后库存应准确扣减","0"
"0","安全","0","权限","1","0","垂直越权：普通用户不能调用管理员接口","0"
"0","用户中心","0","用户管理","1","0","更新用户信息","0"
"0","交易","0","订单状态机","1","0","操作不存在的订单返回404","0"
"0","安全","0","权限","1","0","水平越权：用户不能操作他人订单","0"
"0","交易","0","幂等性","1","0","不同幂等键应生成不同订单","0"
"0","交易","0","订单状态机","1","0","非法迁移：已支付订单不能重复支付","0"
"0","交易","0","订单状态机","1","0","非法迁移：已取消订单不能支付","0"
"0","用户中心","0","用户管理","1","0","更新为已被占用的邮箱应被拒绝","0"
"0","安全","0","恶意输入","1","0","接口响应不得包含敏感字段","0"
"0","交易","0","订单状态机","1","0","非法迁移：待支付订单不能直接完成","0"
"0","交易","0","订单","1","0","库存恰好为1时下单成功且库存归零","0"
"0","用户中心","0","登录","1","0","连续登录失败达到阈值后账号锁定","0"
"0","用户中心","0","登录","1","0","登出后原 token 立即失效","0"
"0","安全","0","权限","1","0","水平越权：普通用户不能修改他人信息","0"
"0","交易","0","幂等性","1","0","相同幂等键重复下单只生成一笔订单","0"
"0","安全","0","权限","1","0","水平越权：普通用户不能读取他人信息","0"
"0","交易","0","订单","1","0","下单需要鉴权","0"
"0","安全","0","权限","1","0","水平越权：用户不能查看他人订单","0"
"0","交易","0","订单状态机","1","0","合法路径：待支付 → 已支付 → 已完成","0"
"0","用户中心","0","用户管理","1","0","用户ID传非法类型","0"
